"padj","gene","symbol","rank","rank_change"
2.67374520605401e-11,"ENSG00000184937","WT1",366,-31
2.68753148963803e-11,"ENSG00000175003","SLC22A1",367,-234
2.73786039965868e-11,"ENSG00000091127","PUS7",368,-78
2.73786039965868e-11,"ENSG00000168530","MYL1",369,-250
3.0339107244169e-11,"ENSG00000136982","DSCC1",370,-121
3.05230887187015e-11,"ENSG00000139832","RAB20",371,-178
3.08561789361124e-11,"ENSG00000279880","AC134407.3",372,221
3.45667624309915e-11,"ENSG00000148344","PTGES",373,-165
3.47637071631685e-11,"ENSG00000172116","CD8B",374,-186
3.79751648723831e-11,"ENSG00000077984","CST7",375,-175
3.80218854315094e-11,"ENSG00000184445","KNTC1",376,-174
3.86664353402552e-11,"ENSG00000243279","PRAF2",377,1342
3.88802784756791e-11,"ENSG00000111716","LDHB",378,13292
3.91725250520173e-11,"ENSG00000227507","LTB",379,-227
3.9915887656122e-11,"ENSG00000168899","VAMP5",380,-130
4.07090886965902e-11,"ENSG00000259623","AC125257.1",381,NA
4.14845506696438e-11,"ENSG00000089159","PXN",382,255
4.2630420494464e-11,"ENSG00000152990","ADGRA3",383,-6
4.5152456444143e-11,"ENSG00000099860","GADD45B",384,-217
4.5817567274744e-11,"ENSG00000196923","PDLIM7",385,-243
4.71282993559255e-11,"ENSG00000139112","GABARAPL1",386,-175
5.00620110643831e-11,"ENSG00000280153","AC133065.3",387,NA
5.03992680174088e-11,"ENSG00000075790","BCAP29",388,9020
5.35716370757086e-11,"ENSG00000144354","CDCA7",389,-221
5.35716370757086e-11,"ENSG00000247679","AC139795.2",390,1074
5.56504890450154e-11,"ENSG00000123473","STIL",391,-55
5.73289490833842e-11,"ENSG00000144407","PTH2R",392,-170
5.80856322177636e-11,"ENSG00000184566","AC132216.1",393,-76
6.06785820538206e-11,"ENSG00000261535","AC005086.2",394,263
6.46220219915651e-11,"ENSG00000123297","TSFM",395,12591
6.63771431759023e-11,"ENSG00000163050","COQ8A",396,9661
6.67973785617843e-11,"ENSG00000007038","PRSS21",397,40
6.67973785617843e-11,"ENSG00000279170","TSTD3",398,539
6.93860826623014e-11,"ENSG00000127955","GNAI1",399,-224
7.3327053597e-11,"ENSG00000157657","ZNF618",400,-186
