"padj","gene","symbol","rank","rank_change"
1.41849039485461e-08,"ENSG00000239213","NCK1-DT",407,35
1.42684831085542e-08,"ENSG00000115523","GNLY",408,621
1.43990918654625e-08,"ENSG00000204933","CD177P1",409,225
1.46033829569234e-08,"ENSG00000172348","RCAN2",410,991
1.46912256110826e-08,"ENSG00000281398","SNHG4",411,-191
1.53282117004287e-08,"ENSG00000118520","ARG1",412,328
1.59670067903674e-08,"ENSG00000022567","SLC45A4",413,311
1.71443517150497e-08,"ENSG00000009413","REV3L",414,317
1.72404454053959e-08,"ENSG00000225873","C3orf86",415,172
1.72852122857058e-08,"ENSG00000247081","BAALC-AS1",416,117
1.78813814857969e-08,"ENSG00000140534","TICRR",417,250
1.82020640979033e-08,"ENSG00000229154","KCNQ5-AS1",418,55
1.82027247538192e-08,"ENSG00000214357","NEURL1B",419,112
1.82132296256672e-08,"ENSG00000244617","ASPRV1",420,170
1.85714722814872e-08,"ENSG00000170677","SOCS6",421,102
1.89981611441186e-08,"ENSG00000157193","LRP8",422,861
1.90468170432012e-08,"ENSG00000149557","FEZ1",423,1774
1.94323212164038e-08,"ENSG00000077238","IL4R",424,305
1.94482681305732e-08,"ENSG00000165887","ANKRD2",425,520
1.94517950354659e-08,"ENSG00000106819","ASPN",426,84
1.97614385476418e-08,"ENSG00000116830","TTF2",427,318
1.98260144218352e-08,"ENSG00000066933","MYO9A",428,485
1.98260144218352e-08,"ENSG00000250280","AC026124.1",429,54
1.99113587778251e-08,"ENSG00000175756","AURKAIP1",430,233
2.00049684630391e-08,"ENSG00000151725","CENPU",431,244
2.01025459073302e-08,"ENSG00000170956","CEACAM3",432,364
2.04723609248878e-08,"ENSG00000104973","MED25",433,462
2.05537027961258e-08,"ENSG00000279175","AL033543.1",434,52
2.07283754070778e-08,"ENSG00000132639","SNAP25",435,971
2.08156649326812e-08,"ENSG00000115649","CNPPD1",436,250
2.08490445245012e-08,"ENSG00000007038","PRSS21",437,-40
2.1052273673376e-08,"ENSG00000175054","ATR",438,326
2.11448736914946e-08,"ENSG00000257704","INAFM1",439,189
2.12410497996161e-08,"ENSG00000129173","E2F8",440,782
2.12410497996161e-08,"ENSG00000173991","TCAP",441,669
2.1591848610246e-08,"ENSG00000153563","CD8A",442,243
2.19736050554139e-08,"ENSG00000259845","HERC2P10",443,23
2.19945975291713e-08,"ENSG00000176340","COX8A",444,-324
